timestamp memory discomfort
1372790612527393510 0.000000 true
1372791131551326349 18.712545 true
1372791863414100878 0.000000 true
1372792967840560423 14.998611 true
1372793078318886918 8.028535 true
1372793242160016140 0.000000 true
1372793242216987073 0.000000 true
1372793242224794281 0.000000 true
1372793394965938077 0.000000 true
1372793490958827166 0.000000 true
1372793580520801698 2.008374 true
1372794073116219364 0.000000 true
1372794102710062451 0.000000 true
1372866142014180787 18.096599 true
